season_id,season,tier,division,match_id,match_name,date,attendance,team_id,team_name,opponent_id,opponent_name,home_team,away_team,goals_for,goals_against,goal_difference,result,win,loss,draw,note,points
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-015-M,Liverpool Ladies vs Chelsea Ladies,5/4/2011,406,T-008-T,Chelsea Ladies,T-017-T,Liverpool Ladies,0,1,2,1,1,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-016-M,Bristol Academy vs Chelsea Ladies,5/4/2011,371,T-006-T,Bristol Academy,T-008-T,Chelsea Ladies,1,0,0,0,0,Draw,0,0,1,NA,1
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-016-M,Bristol Academy vs Chelsea Ladies,5/4/2011,371,T-008-T,Chelsea Ladies,T-006-T,Bristol Academy,0,1,0,0,0,Draw,0,0,1,NA,1
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-017-M,Doncaster Rovers Belles vs Liverpool Ladies,5/4/2011,261,T-011-T,Doncaster Rovers Belles,T-017-T,Liverpool Ladies,1,0,1,0,1,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-017-M,Doncaster Rovers Belles vs Liverpool Ladies,5/4/2011,261,T-017-T,Liverpool Ladies,T-011-T,Doncaster Rovers Belles,0,1,0,1,-1,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-018-M,Everton Ladies vs Birmingham City Ladies,5/4/2011,279,T-013-T,Everton Ladies,T-003-T,Birmingham City Ladies,1,0,0,2,-2,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-018-M,Everton Ladies vs Birmingham City Ladies,5/4/2011,279,T-003-T,Birmingham City Ladies,T-013-T,Everton Ladies,0,1,2,0,2,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-019-M,Lincoln Ladies vs Arsenal Ladies,5/4/2011,581,T-016-T,Lincoln Ladies,T-001-T,Arsenal Ladies,1,0,0,2,-2,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-019-M,Lincoln Ladies vs Arsenal Ladies,5/7/2011,581,T-001-T,Arsenal Ladies,T-016-T,Lincoln Ladies,0,1,2,0,2,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-020-M,Doncaster Rovers Belles vs Arsenal Ladies,5/7/2011,424,T-011-T,Doncaster Rovers Belles,T-001-T,Arsenal Ladies,1,0,0,3,-3,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-020-M,Doncaster Rovers Belles vs Arsenal Ladies,5/8/2011,424,T-001-T,Arsenal Ladies,T-011-T,Doncaster Rovers Belles,0,1,3,0,3,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-021-M,Chelsea Ladies vs Birmingham City Ladies,5/8/2011,441,T-008-T,Chelsea Ladies,T-003-T,Birmingham City Ladies,1,0,1,1,0,Draw,0,0,1,NA,1
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-021-M,Chelsea Ladies vs Birmingham City Ladies,5/8/2011,441,T-003-T,Birmingham City Ladies,T-008-T,Chelsea Ladies,0,1,1,1,0,Draw,0,0,1,NA,1
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-022-M,Everton Ladies vs Bristol Academy,5/8/2011,316,T-013-T,Everton Ladies,T-006-T,Bristol Academy,1,0,0,0,0,Draw,0,0,1,NA,1
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-022-M,Everton Ladies vs Bristol Academy,5/8/2011,316,T-006-T,Bristol Academy,T-013-T,Everton Ladies,0,1,0,0,0,Draw,0,0,1,NA,1
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-023-M,Liverpool Ladies vs Lincoln Ladies,5/8/2011,285,T-017-T,Liverpool Ladies,T-016-T,Lincoln Ladies,1,0,0,1,-1,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-023-M,Liverpool Ladies vs Lincoln Ladies,5/12/2011,285,T-016-T,Lincoln Ladies,T-017-T,Liverpool Ladies,0,1,1,0,1,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-024-M,Birmingham City Ladies vs Liverpool Ladies,5/12/2011,517,T-003-T,Birmingham City Ladies,T-017-T,Liverpool Ladies,1,0,0,0,0,Draw,0,0,1,NA,1
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-024-M,Birmingham City Ladies vs Liverpool Ladies,5/12/2011,517,T-017-T,Liverpool Ladies,T-003-T,Birmingham City Ladies,0,1,0,0,0,Draw,0,0,1,NA,1
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-025-M,Bristol Academy vs Arsenal Ladies,5/12/2011,"1,138",T-006-T,Bristol Academy,T-001-T,Arsenal Ladies,1,0,2,2,0,Draw,0,0,1,NA,1
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-025-M,Bristol Academy vs Arsenal Ladies,5/12/2011,"1,138",T-001-T,Arsenal Ladies,T-006-T,Bristol Academy,0,1,2,2,0,Draw,0,0,1,NA,1
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-026-M,Doncaster Rovers Belles vs Everton Ladies,5/12/2011,866,T-011-T,Doncaster Rovers Belles,T-013-T,Everton Ladies,1,0,0,1,-1,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-026-M,Doncaster Rovers Belles vs Everton Ladies,5/12/2011,866,T-013-T,Everton Ladies,T-011-T,Doncaster Rovers Belles,0,1,1,0,1,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-027-M,Lincoln Ladies vs Chelsea Ladies,5/12/2011,493,T-016-T,Lincoln Ladies,T-008-T,Chelsea Ladies,1,0,0,1,-1,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-027-M,Lincoln Ladies vs Chelsea Ladies,7/22/2011,493,T-008-T,Chelsea Ladies,T-016-T,Lincoln Ladies,0,1,1,0,1,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-028-M,Bristol Academy vs Lincoln Ladies,7/22/2011,373,T-006-T,Bristol Academy,T-016-T,Lincoln Ladies,1,0,2,3,-1,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-028-M,Bristol Academy vs Lincoln Ladies,7/23/2011,373,T-016-T,Lincoln Ladies,T-006-T,Bristol Academy,0,1,3,2,1,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-029-M,Birmingham City Ladies vs Doncaster Rovers Belles,7/23/2011,465,T-003-T,Birmingham City Ladies,T-011-T,Doncaster Rovers Belles,1,0,3,0,3,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-029-M,Birmingham City Ladies vs Doncaster Rovers Belles,7/24/2011,465,T-011-T,Doncaster Rovers Belles,T-003-T,Birmingham City Ladies,0,1,0,3,-3,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-030-M,Arsenal Ladies vs Liverpool Ladies,7/24/2011,915,T-001-T,Arsenal Ladies,T-017-T,Liverpool Ladies,1,0,3,0,3,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-030-M,Arsenal Ladies vs Liverpool Ladies,7/24/2011,915,T-017-T,Liverpool Ladies,T-001-T,Arsenal Ladies,0,1,0,3,-3,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-031-M,Everton Ladies vs Chelsea Ladies,7/24/2011,503,T-013-T,Everton Ladies,T-008-T,Chelsea Ladies,1,0,2,0,2,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-031-M,Everton Ladies vs Chelsea Ladies,7/27/2011,503,T-008-T,Chelsea Ladies,T-013-T,Everton Ladies,0,1,0,2,-2,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-032-M,Bristol Academy vs Birmingham City Ladies,7/27/2011,963,T-006-T,Bristol Academy,T-003-T,Birmingham City Ladies,1,0,2,3,-1,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-032-M,Bristol Academy vs Birmingham City Ladies,7/27/2011,963,T-003-T,Birmingham City Ladies,T-006-T,Bristol Academy,0,1,3,2,1,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-033-M,Everton Ladies vs Liverpool Ladies,7/27/2011,"1,135",T-013-T,Everton Ladies,T-017-T,Liverpool Ladies,1,0,1,0,1,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-033-M,Everton Ladies vs Liverpool Ladies,7/28/2011,"1,135",T-017-T,Liverpool Ladies,T-013-T,Everton Ladies,0,1,0,1,-1,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-034-M,Arsenal Ladies vs Chelsea Ladies,7/28/2011,608,T-001-T,Arsenal Ladies,T-008-T,Chelsea Ladies,1,0,3,0,3,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-034-M,Arsenal Ladies vs Chelsea Ladies,7/31/2011,608,T-008-T,Chelsea Ladies,T-001-T,Arsenal Ladies,0,1,0,3,-3,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-035-M,Chelsea Ladies vs Doncaster Rovers Belles,7/31/2011,NA,T-008-T,Chelsea Ladies,T-011-T,Doncaster Rovers Belles,1,0,2,1,1,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-035-M,Chelsea Ladies vs Doncaster Rovers Belles,7/31/2011,NA,T-011-T,Doncaster Rovers Belles,T-008-T,Chelsea Ladies,0,1,1,2,-1,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-036-M,Everton Ladies vs Arsenal Ladies,7/31/2011,662,T-013-T,Everton Ladies,T-001-T,Arsenal Ladies,1,0,3,1,2,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-036-M,Everton Ladies vs Arsenal Ladies,7/31/2011,662,T-001-T,Arsenal Ladies,T-013-T,Everton Ladies,0,1,1,3,-2,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-037-M,Lincoln Ladies vs Birmingham City Ladies,7/31/2011,NA,T-016-T,Lincoln Ladies,T-003-T,Birmingham City Ladies,1,0,1,1,0,Draw,0,0,1,NA,1
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-037-M,Lincoln Ladies vs Birmingham City Ladies,7/31/2011,NA,T-003-T,Birmingham City Ladies,T-016-T,Lincoln Ladies,0,1,1,1,0,Draw,0,0,1,NA,1
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-038-M,Liverpool Ladies vs Bristol Academy,7/31/2011,NA,T-017-T,Liverpool Ladies,T-006-T,Bristol Academy,1,0,0,2,-2,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-038-M,Liverpool Ladies vs Bristol Academy,8/3/2011,NA,T-006-T,Bristol Academy,T-017-T,Liverpool Ladies,0,1,2,0,2,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-039-M,Birmingham City Ladies vs Everton Ladies,8/3/2011,547,T-003-T,Birmingham City Ladies,T-013-T,Everton Ladies,1,0,2,3,-1,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-039-M,Birmingham City Ladies vs Everton Ladies,8/3/2011,547,T-013-T,Everton Ladies,T-003-T,Birmingham City Ladies,0,1,3,2,1,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-040-M,Liverpool Ladies vs Doncaster Rovers Belles,8/3/2011,NA,T-017-T,Liverpool Ladies,T-011-T,Doncaster Rovers Belles,1,0,1,1,0,Draw,0,0,1,NA,1
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-040-M,Liverpool Ladies vs Doncaster Rovers Belles,8/4/2011,NA,T-011-T,Doncaster Rovers Belles,T-017-T,Liverpool Ladies,0,1,1,1,0,Draw,0,0,1,NA,1
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-041-M,Arsenal Ladies vs Lincoln Ladies,8/4/2011,328,T-001-T,Arsenal Ladies,T-016-T,Lincoln Ladies,1,0,4,0,4,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-041-M,Arsenal Ladies vs Lincoln Ladies,8/6/2011,328,T-016-T,Lincoln Ladies,T-001-T,Arsenal Ladies,0,1,0,4,-4,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-042-M,Doncaster Rovers Belles vs Bristol Academy,8/6/2011,NA,T-011-T,Doncaster Rovers Belles,T-006-T,Bristol Academy,1,0,1,2,-1,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-042-M,Doncaster Rovers Belles vs Bristol Academy,8/7/2011,NA,T-006-T,Bristol Academy,T-011-T,Doncaster Rovers Belles,0,1,2,1,1,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-043-M,Birmingham City Ladies vs Arsenal Ladies,8/7/2011,824,T-003-T,Birmingham City Ladies,T-001-T,Arsenal Ladies,1,0,1,1,0,Draw,0,0,1,NA,1
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-043-M,Birmingham City Ladies vs Arsenal Ladies,8/7/2011,824,T-001-T,Arsenal Ladies,T-003-T,Birmingham City Ladies,0,1,1,1,0,Draw,0,0,1,NA,1
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-044-M,Chelsea Ladies vs Liverpool Ladies,8/7/2011,297,T-008-T,Chelsea Ladies,T-017-T,Liverpool Ladies,1,0,0,1,-1,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-044-M,Chelsea Ladies vs Liverpool Ladies,8/7/2011,297,T-017-T,Liverpool Ladies,T-008-T,Chelsea Ladies,0,1,1,0,1,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-045-M,Everton Ladies vs Lincoln Ladies,8/7/2011,NA,T-013-T,Everton Ladies,T-016-T,Lincoln Ladies,1,0,0,2,-2,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-045-M,Everton Ladies vs Lincoln Ladies,8/13/2011,NA,T-016-T,Lincoln Ladies,T-013-T,Everton Ladies,0,1,2,0,2,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-046-M,Bristol Academy vs Everton Ladies,8/13/2011,508,T-006-T,Bristol Academy,T-013-T,Everton Ladies,1,0,0,2,-2,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-046-M,Bristol Academy vs Everton Ladies,8/13/2011,508,T-013-T,Everton Ladies,T-006-T,Bristol Academy,0,1,2,0,2,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-047-M,Lincoln Ladies vs Liverpool Ladies,8/13/2011,NA,T-016-T,Lincoln Ladies,T-017-T,Liverpool Ladies,1,0,4,2,2,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-047-M,Lincoln Ladies vs Liverpool Ladies,8/14/2011,NA,T-017-T,Liverpool Ladies,T-016-T,Lincoln Ladies,0,1,2,4,-2,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-048-M,Arsenal Ladies vs Doncaster Rovers Belles,8/14/2011,434,T-001-T,Arsenal Ladies,T-011-T,Doncaster Rovers Belles,1,0,3,0,3,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-048-M,Arsenal Ladies vs Doncaster Rovers Belles,8/14/2011,434,T-011-T,Doncaster Rovers Belles,T-001-T,Arsenal Ladies,0,1,0,3,-3,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-049-M,Birmingham City Ladies vs Chelsea Ladies,8/14/2011,413,T-003-T,Birmingham City Ladies,T-008-T,Chelsea Ladies,1,0,3,2,1,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-049-M,Birmingham City Ladies vs Chelsea Ladies,8/18/2011,413,T-008-T,Chelsea Ladies,T-003-T,Birmingham City Ladies,0,1,2,3,-1,Loss,0,1,0,NA,0
